name,right_ascension,declination,coordinate_system,redshift,lensing_flag,classification,notes,emitted_frequency,species,integrated_line_flux,integrated_line_flux_uncertainty_positive,integrated_line_flux_uncertainty_negative,peak_line_flux,peak_line_flux_uncertainty_positive,peak_line_flux_uncertainty_negative,line_width,line_width_uncertainty_positive,line_width_uncertainty_negative,observed_line_frequency,observed_line_frequency_uncertainty_positive,observed_line_frequency_uncertainty_negative,detection_type,observed_beam_major,observed_beam_minor,observed_beam_angle,reference,notes
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",115.2712018,CO,1.358,0.065,0.065,2.72,0.12,0.12,470.0,27.0,27.0,32.399573275619765,245.87904841242727,,SD,23.0,23.0,,2011ApJ...739L..32RÂ,"GBT/Spectrometer, 'This yields a typical beam size of âˆ¼23''.', no beam angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",115.2712018,CO,1.378,0.25,0.25,2.78,0.4,0.4,468.0,94.0,94.0,32.41232757845012,856.6974447121559,,IF,3.7,2.1,,2011ApJ...739L..32RÂ,"VLA, no beam angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",115.2712018,CO,1.406,0.053,0.053,3.14,0.11,0.11,422.0,19.0,19.0,32.40321633777478,173.0649098829822,,SD,23.0,23.0,,2011ApJ...739L..32RÂ,"GBT/Zpectrometer, 'This yields a typical beam size of âˆ¼23''.', no beam angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",345.7959899,CO,7.98,1.21,1.21,23.0,3.0,3.0,326.0,25.0,25.0,97.17464940283827,682.6938977296493,,IF,8.6,7.1,22.0,1994Natur.371..586B,"IRAM IF, Interferometer number; flux unc derived by fit params in Fig.1 caption; suggests 15% unc."
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",345.7959899,CO,9.9,0.6,0.6,25.8,1.6,1.6,362.0,23.0,23.0,97.19923260062964,628.3962080656853,,SD,,,,1997ApJ...484..695B,"IRAM 30m,No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",345.7959899,CO,11.1,1.1,1.1,29.0,4.0,4.0,359.0,36.0,36.0,97.18830519955031,983.3555332163608,,SD,,,,1994Natur.371..586B,"30m telescope, Single-dish number; flux unc derived by fit params in Fig.1 caption; suggests 15% unc., beam size and angle not found"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",345.7959899,CO,13.2,0.2,0.2,30.0,1.7,1.7,416.0,6.0,6.0,97.19267586513165,163.90733006284427,,IF,,,,2003A&A...409L..41W,"IRAM IF, Best of the CO(3-2) detections; no flux. cal unc suggested 10%, 'synthesized beams of 7.5""Ã—4.4"" and 3.5""Ã—1.7"" for the 3 mm and 1 mm bands respectively' I think it's the first one but I don't know for sure, no beam angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",345.7959899,CO,15.4,4.6,4.6,41.0,8.0,8.0,352.0,81.0,81.0,97.19103681947216,2212.6743254102826,,IF,2.8,2.4,-67.0,1996ADIL...DW...01W,"BIMA, Flux+unc derived from fit values; no flux cal unc; I had to calc. z from offset v, BIMA"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",461.0407682,CO,21.1,0.8,0.8,52.7,2.0,2.0,375.0,16.0,16.0,129.57717400591338,582.690128299461,,SD,,,,1997ApJ...484..695B,"IRAM 30m, No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",576.2679305,CO,24.0,1.4,1.4,55.6,3.2,3.2,398.0,25.0,25.0,161.96400519955031,1138.027017984474,,SD,,,,1997ApJ...484..695B,"IRAM 30m, No flux cal unc., no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",691.4730763,CO,37.0,8.1,8.1,,,,,,,194.3,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, z from simultaneous fit to all lines; FWHMs assumed; suggests 15% flux cal unc, no peak values, beam size and angle for this line and 3 others obtained from 'inclined by 30â—¦. The lens is formed with two galaxies of comparable mass at 0.25â€²â€² and 0.71â€²â€² from the line of sight.', no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",806.651806,CO,41.0,4.0,4.0,,,,339.0,21.0,21.0,226.70221066831544,1337.9648204245475,,IF,0.86,1.0,73.0,1997ApJ...479L...9Y,"MMA, Assumed to include flux cal unc, no peak values"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",806.651806,CO,45.3,6.3,6.3,,,,,,,226.7,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",806.651806,CO,47.3,2.2,2.2,109.0,5.0,5.0,,,,226.72769857777277,,,IF,,,,1997ApJ...484..695B,"PdBI, Insufficient BW to constrain FWHM; no flux cal unc, FWHM estimated from other lines from IRAM 30m (not included), no beam size and angle"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",806.651806,CO,50.1,2.8,2.8,,,,480.0,35.0,35.0,226.72132606312712,2230.3174378733097,,IF,0.77,0.44,15.0,1997A&A...321...24A,"NOEMA, Using their best-fit value; no flux cal unc, no peak values"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",921.7997,CO,51.4,4.7,4.7,,,,,,,259.0,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5579,l,QSO_RQ,"VLA, no beam angle",1036.912393,CO,41.8,5.8,5.8,,,,,,,291.0,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
